Magnet,Jacket,Feasibility,Min Mass (ton),Power (MW),u_opt (m/s),mp_opt (kg),omega_opt (RPM),N_packets
SmCo,BFRP,0.0034,0.11731779509429825,3.3359282448709854e-06,14027.410507260245,14.664724386787281,29166.397011867448,1.0
SmCo,CFRP,0.0154,0.11731779509429825,3.3359282448709854e-06,14027.410507260245,14.664724386787281,29166.397011867448,1.0
SmCo,CNT_yarn,0.0192,0.11731779509429825,3.3359282448709854e-06,14027.410507260245,14.664724386787281,29166.397011867448,1.0
NdFeB,BFRP,0.0,,,,,,
NdFeB,CFRP,0.0,,,,,,
NdFeB,CNT_yarn,0.0,,,,,,
GdBCO,BFRP,0.1676,0.030075007382028313,5.188536799631606,9957.251763409351,2.1482148130020224,32943.53955007081,4.0
GdBCO,CFRP,0.2688,0.030075007382028313,5.188536799631606,9957.251763409351,2.1482148130020224,32943.53955007081,4.0
GdBCO,CNT_yarn,0.2834,0.030075007382028313,5.188536799631606,9957.251763409351,2.1482148130020224,32943.53955007081,4.0
YBCO,BFRP,0.1676,0.030075007382028313,5.188536799631606,9957.251763409351,2.1482148130020224,32943.53955007081,4.0
YBCO,CFRP,0.2688,0.030075007382028313,5.188536799631606,9957.251763409351,2.1482148130020224,32943.53955007081,4.0
YBCO,CNT_yarn,0.2834,0.030075007382028313,5.188536799631606,9957.251763409351,2.1482148130020224,32943.53955007081,4.0
